fullname,organizacao,params_b,average,ifeval,bbh,math,gpqa,musr,mmlu_pro,anomaly_score
rootxhacker/Apollo-70B,rootxhacker,70.554,43.15901797697317,50.9856070781083,53.528405173016914,56.11782477341389,27.628635346756152,23.146354166666658,47.54728132387708,0.6246674869980097
raphgg/test-2.5-72B,raphgg,72.706,46.73987796559809,84.37047035199936,62.1541268705062,41.08761329305136,18.568232662192393,20.515104166666664,53.74372044917257,0.6244204018781003
rombodawg/Rombos-LLM-V2.5-Qwen-72b,rombodawg,72.706,46.50088713558663,71.5535889218385,61.26714504573664,54.229607250755286,19.798657718120808,17.322916666666668,54.83340721040189,0.6233767892823202
zetasepic/Qwen2.5-72B-Instruct-abliterated,zetasepic,72.706,46.33795303791254,71.52610628687438,59.912975835046495,52.416918429003026,20.917225950782996,19.122916666666665,54.13157505910166,0.621848733977312
Sakalti/ultiima-72B-v1.5,Sakalti,72.706,44.89912916202218,65.49610588793291,63.438206058920265,43.957703927492446,21.812080536912756,18.536718749999995,56.153959810874696,0.6196831533716057
rubenroy/Gilgamesh-72B,rubenroy,72.706,46.793671661266096,84.86006019583593,61.83602130504769,43.80664652567976,19.239373601789712,17.664062499999996,53.3558658392435,0.6189091829469083
Saxo/Linkbricks-Horizon-AI-Avengers-V2-32B,Saxo,32.76,43.33912719384693,79.56444456264933,58.07744907944319,56.646525679758305,2.1252796420581683,11.179427083333337,52.44163711583924,0.6153683701244758
mistralai/Mistral-Large-Instruct-2411,mistralai,122.61,46.524214355965,84.00577135334247,52.7448919952634,49.546827794561935,24.94407158836689,17.216666666666665,50.687056737588655,0.6148153934248085
NikolaSigmoid/phi-4-300steps,NikolaSigmoid,14.704,29.960260183698754,5.607898154674043,52.64505879688579,29.45619335347432,20.69351230425056,23.719270833333326,47.63962765957447,0.6132177162390081
NyxKrage/Microsoft_Phi-4,NyxKrage,14.66,30.068601124538514,5.852693076592331,52.42784845820486,29.909365558912388,20.805369127516784,23.7859375,47.630393026004725,0.6131890349120723
NikolaSigmoid/phi-4-14b,NikolaSigmoid,14.704,29.913839706837063,5.607898154674043,52.50069258575488,29.38066465256798,20.46979865771812,23.985937499999995,47.538046690307326,0.6125621282077266
microsoft/phi-4,microsoft,14.66,29.48341679122318,4.878500157360248,52.57567157258284,27.870090634441087,20.134228187919465,23.719270833333326,47.722739361702125,0.6106573284907884
rombodawg/Rombos-LLM-V2.5-Qwen-32b,rombodawg,32.764,45.83301184834238,68.26631116548536,58.261894086787414,49.546827794561935,19.574944071588366,24.727083333333336,54.621010638297875,0.6105843454188923
pankajmathur/orca_mini_v7_72b,pankajmathur,72.706,36.215290911204995,59.29622291076566,55.05552307693972,9.365558912386707,18.008948545861294,24.21354166666666,51.35195035460993,0.609828502116823
NikolaSigmoid/phi-4-1steps,NikolaSigmoid,14.704,29.87038792129772,5.275668559422333,52.760921126950045,29.83383685800604,20.246085011185684,23.62317708333333,47.48263888888889,0.6094128267448795
davidkim205/Rhea-72b-v0.5,davidkim205,72.0,5.99895584588256,1.4538092261865185,3.6707473002836024,17.371601208459214,0.33557046979865535,11.316927083333333,1.8450797872340412,0.6091226006912533
BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,BenevolenceMessiah,72.7,42.26732013588396,54.73499204333391,61.91149453060484,57.85498489425982,15.659955257270694,12.016666666666671,51.425827423167846,0.6087996787913323
